temperature,date
3.7,Jan-70
2.9,Feb-70
3.7,Mar-70
6.7,Apr-70
13,May-70
16.4,Jun-70
15.2,Jul-70
16,Aug-70
14.4,Sep-70
10.7,Oct-70
7.8,Nov-70
4.3,Dec-70
4.5,Jan-71
4.5,Feb-71
4.9,Mar-71
7.9,Apr-71
11.6,May-71
12.4,Jun-71
16.9,Jul-71
15.6,Aug-71
14,Sep-71
11.3,Oct-71
6,Nov-71
6.6,Dec-71
3.9,Jan-72
4.3,Feb-72
6.5,Mar-72
8.2,Apr-72
10.5,May-72
11.8,Jun-72
15.6,Jul-72
15.1,Aug-72
11.7,Sep-72
10.6,Oct-72
6.3,Nov-72
5.8,Dec-72
4.5,Jan-73
4.3,Feb-73
6.2,Mar-73
7,Apr-73
11.4,May-73
14.8,Jun-73
15.6,Jul-73
16.5,Aug-73
14.3,Sep-73
9,Oct-73
6,Nov-73
4.9,Dec-73
5.9,Jan-74
5.4,Feb-74
5.8,Mar-74
8.2,Apr-74
11,May-74
13.9,Jun-74
15.2,Jul-74
15.2,Aug-74
12.1,Sep-74
7.8,Oct-74
6.8,Nov-74
8.1,Dec-74
6.8,Jan-75
4.4,Feb-75
4.8,Mar-75
8.3,Apr-75
9.9,May-75
14.7,Jun-75
17.4,Jul-75
18.7,Aug-75
13.5,Sep-75
9.9,Oct-75
6.3,Nov-75
5.3,Dec-75
5.9,Jan-76
4.5,Feb-76
4.8,Mar-76
8.1,Apr-76
12.1,May-76
17,Jun-76
18.7,Jul-76
17.6,Aug-76
13.4,Sep-76
10.6,Oct-76
6.3,Nov-76
2,Dec-76
2.8,Jan-77
5.2,Feb-77
6.9,Mar-77
7.2,Apr-77
10.6,May-77
12.2,Jun-77
15.9,Jul-77
15.2,Aug-77
13.3,Sep-77
11.8,Oct-77
6.6,Nov-77
6.1,Dec-77
3.4,Jan-78
2.8,Feb-78
6.7,Mar-78
6.5,Apr-78
11.7,May-78
13.7,Jun-78
14.8,Jul-78
15,Aug-78
14.2,Sep-78
11.9,Oct-78
8.5,Nov-78
3.9,Dec-78
-0.4,Jan-79
1.2,Feb-79
4.7,Mar-79
7.8,Apr-79
10,May-79
13.9,Jun-79
16.2,Jul-79
14.9,Aug-79
13.5,Sep-79
11.3,Oct-79
6.8,Nov-79
5.8,Dec-79
2.3,Jan-80
5.7,Feb-80
4.7,Mar-80
8.8,Apr-80
11.2,May-80
13.8,Jun-80
14.7,Jul-80
15.9,Aug-80
14.7,Sep-80
9,Oct-80
6.6,Nov-80
5.6,Dec-80
4.9,Jan-81
3,Feb-81
7.9,Mar-81
7.8,Apr-81
11.2,May-81
13.2,Jun-81
15.5,Jul-81
16.2,Aug-81
14.5,Sep-81
8.6,Oct-81
7.8,Nov-81
0.3,Dec-81
2.6,Jan-82
4.8,Feb-82
6.1,Mar-82
8.6,Apr-82
11.6,May-82
15.5,Jun-82
16.5,Jul-82
15.7,Aug-82
14.2,Sep-82
10.1,Oct-82
8,Nov-82
4.4,Dec-82
6.7,Jan-83
1.7,Feb-83
6.4,Mar-83
6.8,Apr-83
10.3,May-83
14.4,Jun-83
19.5,Jul-83
17.3,Aug-83
13.7,Sep-83
10.5,Oct-83
7.5,Nov-83
5.6,Dec-83
3.8,Jan-84
3.3,Feb-84
4.7,Mar-84
8.1,Apr-84
9.9,May-84
14.5,Jun-84
16.9,Jul-84
17.6,Aug-84
13.7,Sep-84
11.1,Oct-84
8,Nov-84
5.2,Dec-84
0.8,Jan-85
2.1,Feb-85
4.7,Mar-85
8.3,Apr-85
10.9,May-85
12.7,Jun-85
16.2,Jul-85
14.6,Aug-85
14.6,Sep-85
11,Oct-85
4.1,Nov-85
6.3,Dec-85
3.5,Jan-86
-1.1,Feb-86
4.9,Mar-86
5.8,Apr-86
11.1,May-86
14.8,Jun-86
15.9,Jul-86
13.7,Aug-86
11.3,Sep-86
11,Oct-86
7.8,Nov-86
6.2,Dec-86
0.8,Jan-87
3.6,Feb-87
4.1,Mar-87
10.3,Apr-87
10.1,May-87
12.8,Jun-87
15.9,Jul-87
15.6,Aug-87
13.6,Sep-87
9.7,Oct-87
6.5,Nov-87
5.6,Dec-87
5.3,Jan-88
4.9,Feb-88
6.4,Mar-88
8.2,Apr-88
11.9,May-88
14.4,Jun-88
14.7,Jul-88
15.2,Aug-88
13.2,Sep-88
10.4,Oct-88
5.2,Nov-88
7.5,Dec-88
6.1,Jan-89
5.9,Feb-89
7.5,Mar-89
6.6,Apr-89
13,May-89
14.6,Jun-89
18.2,Jul-89
16.6,Aug-89
14.7,Sep-89
11.7,Oct-89
6.2,Nov-89
4.9,Dec-89
6.5,Jan-90
7.3,Feb-90
8.3,Mar-90
8,Apr-90
12.6,May-90
13.6,Jun-90
16.9,Jul-90
18,Aug-90
13.2,Sep-90
11.9,Oct-90
6.9,Nov-90
4.3,Dec-90
3.3,Jan-91
1.5,Feb-91
7.9,Mar-91
7.9,Apr-91
10.8,May-91
12.1,Jun-91
17.3,Jul-91
17.1,Aug-91
14.7,Sep-91
10.2,Oct-91
6.8,Nov-91
4.7,Dec-91
3.7,Jan-92
5.4,Feb-92
7.5,Mar-92
8.7,Apr-92
13.6,May-92
15.7,Jun-92
16.2,Jul-92
15.3,Aug-92
13.4,Sep-92
7.8,Oct-92
7.4,Nov-92
3.6,Dec-92
5.9,Jan-93
4.6,Feb-93
6.7,Mar-93
9.5,Apr-93
11.4,May-93
15,Jun-93
15.2,Jul-93
14.6,Aug-93
12.4,Sep-93
8.5,Oct-93
4.6,Nov-93
5.5,Dec-93
5.3,Jan-94
3.2,Feb-94
7.7,Mar-94
8.1,Apr-94
10.7,May-94
14.5,Jun-94
18,Jul-94
16,Aug-94
12.7,Sep-94
10.2,Oct-94
10.1,Nov-94
6.4,Dec-94
4.8,Jan-95
6.5,Feb-95
5.6,Mar-95
9.1,Apr-95
11.6,May-95
14.3,Jun-95
18.6,Jul-95
19.2,Aug-95
13.7,Sep-95
12.9,Oct-95
7.7,Nov-95
2.3,Dec-95
4.3,Jan-96
2.5,Feb-96
4.5,Mar-96
8.5,Apr-96
9.1,May-96
14.4,Jun-96
16.5,Jul-96
16.5,Aug-96
13.6,Sep-96
11.7,Oct-96
5.9,Nov-96
2.9,Dec-96
2.5,Jan-97
6.7,Feb-97
8.4,Mar-97
9,Apr-97
11.5,May-97
14.1,Jun-97
16.7,Jul-97
18.9,Aug-97
14.2,Sep-97
10.2,Oct-97
8.4,Nov-97
5.8,Dec-97
5.2,Jan-98
7.3,Feb-98
7.9,Mar-98
